Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers (U.K.) Limited
Statement,Data,BrokerAddress,"20 Fenchurch Street, Floor 12, London EC3M 3BY, UK. Authorised and regulated by the Financial Conduct Authority"
Statement,Data,Title,Realized Summary
Statement,Data,Period,"February 21, 2025 - January 28, 2026"
Statement,Data,WhenGenerated,"2026-01-29, 13:15:16 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,CAESARIS DENARII LIMITED
Account Information,Data,Account Alias,Master
Account Information,Data,Account,U17419949
Account Information,Data,Accounts Included,"U17419949, U17419949F"
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Margin
Account Information,Data,Base Currency,GBP
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,0,0.000043899,-0.004876883,-0.004832984,-0.004832984
Net Asset Value,Data,Interest Accruals,0,19.83,0,19.83,19.83
Net Asset Value,Data,Total,0,19.830043899,-0.004876883,19.825167016,19.825167016
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,28.528015695%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,0
Change in NAV,Data,Details not available,
Change in NAV,Data,Ending Value,19.825167016
Realized & Unrealized Performance Summary,Header,Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code
Realized & Unrealized Performance Summary,Data,Stocks,LLY,0,151.401022416,0,0,0,151.401022416,0,0,0,0,0,151.401022416,
Realized & Unrealized Performance Summary,Data,Stocks,LNG,0,52.159479322,-540.131878746,0,0,-487.972399424,0,0,0,0,0,-487.972399424,
Realized & Unrealized Performance Summary,Data,Stocks,LOAR,0,0,-1.078972995,0,0,-1.078972995,0,0,0,0,0,-1.078972995,
Realized & Unrealized Performance Summary,Data,Stocks,MDGL,0,224.20439253,0,0,0,224.20439253,0,0,0,0,0,224.20439253,
Realized & Unrealized Performance Summary,Data,Stocks,META,0,17.570189837,0,0,0,17.570189837,0,0,0,0,0,17.570189837,
Realized & Unrealized Performance Summary,Data,Stocks,MGRT,0,0,-4697.2396119,0,0,-4697.2396119,0,0,0,0,0,-4697.2396119,
Realized & Unrealized Performance Summary,Data,Stocks,MIAX,0,0,-780.91758888,0,0,-780.91758888,0,0,0,0,0,-780.91758888,
Realized & Unrealized Performance Summary,Data,Stocks,MNST,0,97.130781809,0,0,0,97.130781809,0,0,0,0,0,97.130781809,
Realized & Unrealized Performance Summary,Data,Stocks,MP,0,0,-1.913568457,0,0,-1.913568457,0,0,0,0,0,-1.913568457,
Realized & Unrealized Performance Summary,Data,Stocks,MRVL,0,0,-609.570659718,0,0,-609.570659718,0,0,0,0,0,-609.570659718,
Realized & Unrealized Performance Summary,Data,Stocks,MSFT,0,0,-133.54406132,0,0,-133.54406132,0,0,0,0,0,-133.54406132,
Realized & Unrealized Performance Summary,Data,Stocks,NBIS,0,14853.834019414,-3762.749823498,0,0,11091.084195916,0,0,0,0,0,11091.084195916,
Realized & Unrealized Performance Summary,Data,Stocks,NET,0,0,-91.113811116,0,0,-91.113811116,0,0,0,0,0,-91.113811116,
Realized & Unrealized Performance Summary,Data,Stocks,NKE,0,5141.040013366,-368.82523886,0,0,4772.214774506,0,0,0,0,0,4772.214774506,
Realized & Unrealized Performance Summary,Data,Stocks,NNE,0,4199.773959216,0,0,0,4199.773959216,0,0,0,0,0,4199.773959216,
Realized & Unrealized Performance Summary,Data,Stocks,NOK,0,0,-1.924711439,0,0,-1.924711439,0,0,0,0,0,-1.924711439,
Realized & Unrealized Performance Summary,Data,Stocks,NSSC,0,0,-171.171683702,0,0,-171.171683702,0,0,0,0,0,-171.171683702,
